"symbol","date","open","high","low","close","volume"
"CORI","2015-12-15","6.75","7.08","6.49","6.79","79100"
"CORI","2015-12-16","6.75","7.63","6.71","7.59","83800"
"CORI","2015-12-17","7.65","7.65","7.15","7.56","69800"
"CORI","2015-12-18","7.51","7.65","7.05","7.19","81200"
"CORI","2015-12-21","7.19","7.4","6.91","7.38","27800"
"CORI","2015-12-22","7.25","7.52","7.2","7.5","66400"
"CORI","2015-12-23","7.5","7.92","7.49","7.9","17400"
"CORI","2015-12-24","7.97","7.99","7.8","7.85","3700"
"CORI","2015-12-28","7.81","8.45","7.79","8.18","19800"
"CORI","2015-12-29","8.29","8.33","7.87","8.17","31600"
"CORI","2015-12-30","7.93","8.35","7.93","8.24","30900"
"CORI","2015-12-31","8.23","8.37","8.02","8.12","112100"
"CORI","2016-01-04","7.9","9.85","7.83","8.64","88800"
"CORI","2016-01-05","8.64","9.26","7.75","8.15","153900"
"CORI","2016-01-06","8.0","8.35","7.76","7.86","49500"
"CORI","2016-01-07","7.47","7.9","7.07","7.13","68200"
"CORI","2016-01-08","7.15","7.22","6.75","6.91","50400"
"CORI","2016-01-11","7.0","7.0","6.17","6.35","121700"
"CORI","2016-01-12","6.39","6.5","6.09","6.25","38900"
"CORI","2016-01-13","6.01","6.27","5.62","5.78","96200"
"CORI","2016-01-14","5.8","6.07","5.03","5.27","198600"
"CORI","2016-01-15","5.11","5.39","5.0","5.27","94600"
"CORI","2016-01-19","5.36","5.4","5.08","5.15","119100"
"CORI","2016-01-20","5.07","5.78","5.0","5.67","75700"
"CORI","2016-01-21","5.67","5.96","5.46","5.51","41200"
"CORI","2016-01-22","5.62","5.8","5.34","5.42","73000"
"CORI","2016-01-25","5.39","5.67","5.25","5.53","40500"
"CORI","2016-01-26","5.64","6.93","5.4","6.6","62400"
"CORI","2016-01-27","6.65","6.65","5.91","5.99","63500"
"CORI","2016-01-28","6.08","6.08","5.64","5.66","15800"
"CORI","2016-01-29","5.65","5.85","5.46","5.81","47600"
"CORI","2016-02-01","5.75","6.08","5.52","5.89","189900"
"CORI","2016-02-02","5.81","5.81","5.33","5.41","23900"
"CORI","2016-02-03","5.43","5.43","4.83","5.38","57900"
"CORI","2016-02-04","6.19","6.52","5.56","5.86","212400"
"CORI","2016-02-05","5.79","5.91","5.5","5.71","65000"
"CORI","2016-02-08","5.66","5.66","5.1","5.35","34400"
"CORI","2016-02-09","5.01","5.34","4.62","5.22","109100"
"CORI","2016-02-10","5.25","5.57","5.08","5.12","23500"
"CORI","2016-02-11","5.02","5.15","4.52","4.7","38100"
"CORI","2016-02-12","4.73","4.97","4.73","4.94","17700"
"CORI","2016-02-16","5.01","5.25","4.88","5.11","25900"
"CORI","2016-02-17","5.17","5.71","5.06","5.69","67900"
"CORI","2016-02-18","5.67","5.67","5.36","5.42","47200"
"CORI","2016-02-19","5.39","5.5","5.26","5.39","57400"
"CORI","2016-02-22","5.44","6.1","5.33","5.85","144900"
"CORI","2016-02-23","5.65","5.74","5.09","5.21","141300"
"CORI","2016-02-24","5.15","5.15","4.36","4.54","93000"
"CORI","2016-02-25","4.55","4.55","4.43","4.48","32400"
"CORI","2016-02-26","4.5","4.7","4.46","4.61","41000"
"CORI","2016-02-29","4.59","4.68","4.51","4.58","30300"
"CORI","2016-03-01","4.61","4.84","4.27","4.83","57800"
"CORI","2016-03-02","4.85","4.9","4.66","4.9","88300"
"CORI","2016-03-03","4.89","4.98","4.57","4.92","49400"
"CORI","2016-03-04","4.93","5.01","4.84","4.91","9900"
"CORI","2016-03-07","5.14","5.5","5.11","5.31","39400"
"CORI","2016-03-08","5.26","5.26","4.81","4.82","20300"
"CORI","2016-03-09","4.88","4.88","4.46","4.7","22900"
"CORI","2016-03-10","4.71","4.71","4.49","4.5","28300"
"CORI","2016-03-11","4.49","4.58","4.49","4.51","36900"
"CORI","2016-03-14","4.54","4.78","4.5","4.69","16600"
"CORI","2016-03-15","4.83","4.83","4.45","4.49","37100"
"CORI","2016-03-16","4.46","4.55","4.32","4.45","30000"
"CORI","2016-03-17","4.4","4.84","4.01","4.23","58600"
"CORI","2016-03-18","4.27","4.37","4.17","4.36","52300"
"CORI","2016-03-21","4.33","4.61","4.14","4.2","26300"
"CORI","2016-03-22","4.01","4.14","3.95","3.98","19800"
"CORI","2016-03-23","3.99","4.04","3.75","3.75","67400"
"CORI","2016-03-24","3.56","3.76","3.53","3.69","20300"
"CORI","2016-03-28","3.72","3.92","3.52","3.9","32100"
"CORI","2016-03-29","3.9","4.28","3.81","4.24","32200"
"CORI","2016-03-30","4.32","4.32","3.89","3.93","40900"
"CORI","2016-03-31","3.95","4.37","3.8","3.86","169300"
"CORI","2016-04-01","3.84","4.31","3.83","4.08","112000"
"CORI","2016-04-04","4.14","4.24","4.0","4.02","41300"
"CORI","2016-04-05","4.03","4.29","4.03","4.14","16700"
"CORI","2016-04-06","4.14","4.5","4.14","4.4","21800"
"CORI","2016-04-07","4.36","4.43","4.17","4.24","25600"
"CORI","2016-04-08","4.32","4.41","4.25","4.29","29300"
"CORI","2016-04-11","4.3","4.78","4.3","4.71","33300"
"CORI","2016-04-12","4.7","4.95","4.5","4.8","58900"
"CORI","2016-04-13","5.07","5.07","4.73","4.79","49500"
"CORI","2016-04-14","4.82","4.88","4.5","4.67","23800"
"CORI","2016-04-15","4.62","4.72","4.54","4.58","35000"
"CORI","2016-04-18","4.41","4.5","4.22","4.3","19300"
"CORI","2016-04-19","4.12","4.13","3.73","3.96","222900"
"CORI","2016-04-20","4.04","4.29","3.9","4.2","56300"
"CORI","2016-04-21","4.21","4.43","4.01","4.41","33600"
"CORI","2016-04-22","4.86","4.86","4.46","4.51","14200"
"CORI","2016-04-25","4.5","4.62","4.24","4.29","15300"
"CORI","2016-04-26","4.29","4.35","4.13","4.33","12100"
"CORI","2016-04-27","4.32","4.32","4.02","4.25","11500"
"CORI","2016-04-28","4.23","4.26","4.05","4.19","12200"
"CORI","2016-04-29","4.15","4.55","4.08","4.48","45200"
"CORI","2016-05-02","4.52","4.8","4.42","4.75","27500"
"CORI","2016-05-03","5.0","5.71","5.0","5.2","124400"
"CORI","2016-05-04","5.26","5.27","4.75","5.0","91200"
"CORI","2016-05-05","4.99","5.24","4.8","4.85","24500"
"CORI","2016-05-06","4.75","4.98","3.93","4.0","119700"
"CORI","2016-05-09","4.0","4.24","3.62","3.65","53700"
"CORI","2016-05-10","3.65","3.8","3.54","3.6","31800"
"CORI","2016-05-11","3.57","3.85","3.41","3.48","47200"
"CORI","2016-05-12","3.53","3.63","3.14","3.23","62000"
"CORI","2016-05-13","3.2","3.57","3.2","3.4","42700"
"CORI","2016-05-16","3.4","3.86","3.4","3.64","33900"
"CORI","2016-05-17","3.64","3.86","3.27","3.38","31300"
"CORI","2016-05-18","3.36","3.64","3.36","3.61","47200"
"CORI","2016-05-19","3.8","3.87","3.53","3.72","38700"
"CORI","2016-05-20","3.7","3.99","3.55","3.79","15000"
"CORI","2016-05-23","3.8","3.95","3.75","3.85","29300"
"CORI","2016-05-24","3.97","3.98","3.88","3.91","21400"
"CORI","2016-05-25","3.93","3.96","3.85","3.92","21300"
"CORI","2016-05-26","3.84","4.0","3.73","3.93","27800"
"CORI","2016-05-27","4.0","4.15","3.84","4.09","44400"
"CORI","2016-05-31","4.1","4.45","4.1","4.19","45011"
"CORI","2016-06-01","4.2","4.33","4.04","4.19","50490"
"CORI","2016-06-02","4.19","4.43","4.17","4.29","23970"
"CORI","2016-06-03","4.31","4.31","4.13","4.22","30973"
"CORI","2016-06-06","4.2","4.34","4.14","4.25","23296"
"CORI","2016-06-07","4.29","4.29","4.18","4.18","4530"
